First name,Family name,Country,Entry ,Time,Event,full_name,name_country,found_easy,possible_match,match_correct,new_swimmer,time_hundredths
Brittany ,MacLean ,CAN,A ,04:03.8,Women's 400 Freestyle,Brittany MacLean,Brittany MacLean CAN,TRUE,,FALSE,FALSE,24380
Brittany ,MacLean ,CAN,A ,08:21.4,Women's 800 Freestyle,Brittany MacLean,Brittany MacLean CAN,TRUE,,FALSE,FALSE,50140
Katerine ,Savard ,CAN,A ,01:58.2,Women's 200 Freestyle,Katerine Savard,Katerine Savard CAN,TRUE,,FALSE,FALSE,11820
Yanhan ,Ai ,CHN,A ,01:56.5,Women's 200 Freestyle,Yanhan Ai,Yanhan Ai CHN,FALSE,Yanhan AI CHN,TRUE,FALSE,11650
Melania ,Costa Schmid ,ESP,A ,01:57.8,Women's 200 Freestyle,Melania Costa Schmid,Melania Costa Schmid ESP,TRUE,,FALSE,FALSE,11780
Melania ,Costa Schmid ,ESP,A ,04:06.5,Women's 400 Freestyle,Melania Costa Schmid,Melania Costa Schmid ESP,TRUE,,FALSE,FALSE,24650
Patricia ,Castro Ortega ,ESP,A ,01:58.6,Women's 200 Freestyle,Patricia Castro Ortega,Patricia Castro Ortega ESP,FALSE,,FALSE,TRUE,11860
Coralie ,Balmy ,FRA,A ,01:57.2,Women's 200 Freestyle,Coralie Balmy,Coralie Balmy FRA,TRUE,,FALSE,FALSE,11720
Coralie ,Balmy ,FRA,A ,04:03.7,Women's 400 Freestyle,Coralie Balmy,Coralie Balmy FRA,TRUE,,FALSE,FALSE,24370
Coralie ,Balmy ,FRA,A ,08:28.6,Women's 800 Freestyle,Coralie Balmy,Coralie Balmy FRA,TRUE,,FALSE,FALSE,50860
Georgia ,Coates ,GBR,A ,01:58.5,Women's 200 Freestyle,Georgia Coates,Georgia Coates GBR,TRUE,,FALSE,FALSE,11850
Eleanor ,Faulkner ,GBR,A ,01:58.0,Women's 200 Freestyle,Eleanor Faulkner,Eleanor Faulkner GBR,TRUE,,FALSE,FALSE,11800
Annika ,Bruhn ,GER,A ,01:58.6,Women's 200 Freestyle,Annika Bruhn,Annika Bruhn GER,TRUE,,FALSE,FALSE,11860
Siobhan ,Haughey ,HKG,A ,01:58.5,Women's 200 Freestyle,Siobhan Haughey,Siobhan Haughey HKG,TRUE,,FALSE,FALSE,11850
Siobhan ,Haughey ,HKG,A ,02:13.1,Women's 200 Individual Medley,Siobhan Haughey,Siobhan Haughey HKG,TRUE,,FALSE,FALSE,13310
Ajna ,Kesely ,HUN,A ,01:58.1,Women's 200 Freestyle,Ajna Kesely,Ajna Kesely HUN,TRUE,,FALSE,FALSE,11810
Ajna ,Kesely ,HUN,A ,04:07.9,Women's 400 Freestyle,Ajna Kesely,Ajna Kesely HUN,TRUE,,FALSE,FALSE,24790
Evelyn ,Verraszto ,HUN,A ,01:58.2,Women's 200 Freestyle,Evelyn Verraszto,Evelyn Verraszto HUN,TRUE,,FALSE,FALSE,11820
Alice ,Mizzau ,ITA,A ,01:57.4,Women's 200 Freestyle,Alice Mizzau,Alice Mizzau ITA,TRUE,,FALSE,FALSE,11740
Alice ,Mizzau ,ITA,A ,04:06.2,Women's 400 Freestyle,Alice Mizzau,Alice Mizzau ITA,TRUE,,FALSE,FALSE,24620
Chihiro ,Igarashi ,JPN,A ,01:57.8,Women's 200 Freestyle,Chihiro Igarashi,Chihiro Igarashi JPN,TRUE,,FALSE,FALSE,11780
Chihiro ,Igarashi ,JPN,B ,04:09.2,Women's 400 Freestyle,Chihiro Igarashi,Chihiro Igarashi JPN,TRUE,,FALSE,FALSE,24919
Robin ,Neumann ,NED,A ,01:57.9,Women's 200 Freestyle,Robin Neumann,Robin Neumann NED,TRUE,,FALSE,FALSE,11790
Arina ,Openysheva ,RUS,A ,01:58.2,Women's 200 Freestyle,Arina Openysheva,Arina Openysheva RUS,FALSE,,FALSE,TRUE,11820
Arina ,Openysheva ,RUS,A ,04:08.8,Women's 400 Freestyle,Arina Openysheva,Arina Openysheva RUS,FALSE,,FALSE,TRUE,24880
Arina ,Openysheva ,RUS,A ,08:33.9,Women's 800 Freestyle,Arina Openysheva,Arina Openysheva RUS,FALSE,,FALSE,TRUE,51390
Katarina ,Simonovic ,SRB,A ,01:58.9,Women's 200 Freestyle,Katarina Simonovic,Katarina Simonovic SRB,FALSE,,FALSE,TRUE,11890
Katarina ,Simonovic ,SRB,B ,04:13.7,Women's 400 Freestyle,Katarina Simonovic,Katarina Simonovic SRB,FALSE,,FALSE,TRUE,25370
Katie ,Ledecky ,USA,A ,01:54.4,Women's 200 Freestyle,Katie Ledecky,Katie Ledecky USA,TRUE,,FALSE,FALSE,11440
Katie ,Ledecky ,USA,A ,03:59.0,Women's 400 Freestyle,Katie Ledecky,Katie Ledecky USA,TRUE,,FALSE,FALSE,23900
Katie ,Ledecky ,USA,A ,08:06.7,Women's 800 Freestyle,Katie Ledecky,Katie Ledecky USA,TRUE,,FALSE,FALSE,48670
Missy ,Franklin ,USA,A ,01:55.5,Women's 200 Freestyle,Missy Franklin,Missy Franklin USA,TRUE,,FALSE,FALSE,11550
Missy ,Franklin ,USA,A ,02:06.3,Women's 200 Backstroke,Missy Franklin,Missy Franklin USA,TRUE,,FALSE,FALSE,12630
Joanna ,Evans ,BAH,B ,02:01.6,Women's 200 Freestyle,Joanna Evans,Joanna Evans BAH,TRUE,,FALSE,FALSE,12160
Joanna ,Evans ,BAH,B ,04:12.5,Women's 400 Freestyle,Joanna Evans,Joanna Evans BAH,TRUE,,FALSE,FALSE,25250
Joanna ,Evans ,BAH,A ,08:32.2,Women's 800 Freestyle,Joanna Evans,Joanna Evans BAH,TRUE,,FALSE,FALSE,51220
Barbora ,Seemanova ,CZE,B ,01:59.1,Women's 200 Freestyle,Barbora Seemanova,Barbora Seemanova CZE,FALSE,,FALSE,TRUE,11910
Vien ,Nguyen ,VIE,B ,01:59.3,Women's 200 Freestyle,Vien Nguyen,Vien Nguyen VIE,TRUE,,FALSE,FALSE,11930
Vien ,Nguyen ,VIE,A ,04:08.7,Women's 400 Freestyle,Vien Nguyen,Vien Nguyen VIE,TRUE,,FALSE,FALSE,24869
Vien ,Nguyen ,VIE,A ,02:12.3,Women's 200 Individual Medley,Vien Nguyen,Vien Nguyen VIE,TRUE,,FALSE,FALSE,13230
Vien ,Nguyen ,VIE,A ,04:38.8,Women's 400 Individual Medley,Vien Nguyen,Vien Nguyen VIE,TRUE,,FALSE,FALSE,27879
Jessica ,Ashwood ,AUS,A ,04:03.3,Women's 400 Freestyle,Jessica Ashwood,Jessica Ashwood AUS,TRUE,,FALSE,FALSE,24330
Jessica ,Ashwood ,AUS,A ,08:18.4,Women's 800 Freestyle,Jessica Ashwood,Jessica Ashwood AUS,TRUE,,FALSE,FALSE,49839
Tamsin ,Cook ,AUS,A ,04:06.2,Women's 400 Freestyle,Tamsin Cook,Tamsin Cook AUS,TRUE,,FALSE,FALSE,24620
Tamsin ,Cook ,AUS,A ,08:27.0,Women's 800 Freestyle,Tamsin Cook,Tamsin Cook AUS,TRUE,,FALSE,FALSE,50700
Emily ,Overholt ,CAN,A ,04:07.9,Women's 400 Freestyle,Emily Overholt,Emily Overholt CAN,TRUE,,FALSE,FALSE,24790
Emily ,Overholt ,CAN,A ,04:32.5,Women's 400 Individual Medley,Emily Overholt,Emily Overholt CAN,TRUE,,FALSE,FALSE,27250
Yue ,Cao ,CHN,A ,04:05.9,Women's 400 Freestyle,Yue Cao,Yue Cao CHN,TRUE,,FALSE,FALSE,24590
Yuhan ,Zhang ,CHN,A ,04:06.7,Women's 400 Freestyle,Yuhan Zhang,Yuhan Zhang CHN,TRUE,,FALSE,FALSE,24670
Yuhan ,Zhang ,CHN,A ,08:24.0,Women's 800 Freestyle,Yuhan Zhang,Yuhan Zhang CHN,TRUE,,FALSE,FALSE,50400
Lotte ,Friis ,DEN,A ,04:07.2,Women's 400 Freestyle,Lotte Friis,Lotte Friis DEN,TRUE,,FALSE,FALSE,24720
Lotte ,Friis ,DEN,A ,08:21.4,Women's 800 Freestyle,Lotte Friis,Lotte Friis DEN,TRUE,,FALSE,FALSE,50140
Mireia ,Belmonte ,ESP,A ,04:05.0,Women's 400 Freestyle,Mireia Belmonte,Mireia Belmonte ESP,TRUE,,FALSE,FALSE,24500
Mireia ,Belmonte ,ESP,A ,08:27.9,Women's 800 Freestyle,Mireia Belmonte,Mireia Belmonte ESP,TRUE,,FALSE,FALSE,50790
Mireia ,Belmonte ,ESP,A ,02:05.9,Women's 200 Butterfly,Mireia Belmonte,Mireia Belmonte ESP,TRUE,,FALSE,FALSE,12590
Mireia ,Belmonte ,ESP,A ,02:11.9,Women's 200 Individual Medley,Mireia Belmonte,Mireia Belmonte ESP,TRUE,,FALSE,FALSE,13190
Mireia ,Belmonte ,ESP,A ,04:33.4,Women's 400 Individual Medley,Mireia Belmonte,Mireia Belmonte ESP,TRUE,,FALSE,FALSE,27340
Jazz ,Carlin ,GBR,A ,04:03.5,Women's 400 Freestyle,Jazz Carlin,Jazz Carlin GBR,FALSE,Jazmin Carlin GBR,TRUE,FALSE,24350
Jazz ,Carlin ,GBR,A ,08:18.2,Women's 800 Freestyle,Jazz Carlin,Jazz Carlin GBR,FALSE,Jazmin Carlin GBR,TRUE,FALSE,49820
Sarah ,Kohler ,GER,A ,04:06.7,Women's 400 Freestyle,Sarah Kohler,Sarah Kohler GER,TRUE,,FALSE,FALSE,24670
Sarah ,Kohler ,GER,A ,08:22.8,Women's 800 Freestyle,Sarah Kohler,Sarah Kohler GER,TRUE,,FALSE,FALSE,50280
Boglarka ,Kapas ,HUN,A ,04:03.5,Women's 400 Freestyle,Boglarka Kapas,Boglarka Kapas HUN,TRUE,,FALSE,FALSE,24350
Boglarka ,Kapas ,HUN,A ,08:21.4,Women's 800 Freestyle,Boglarka Kapas,Boglarka Kapas HUN,TRUE,,FALSE,FALSE,50140
Diletta ,Carli ,ITA,A ,04:05.5,Women's 400 Freestyle,Diletta Carli,Diletta Carli ITA,TRUE,,FALSE,FALSE,24550
Diletta ,Carli ,ITA,A ,08:27.3,Women's 800 Freestyle,Diletta Carli,Diletta Carli ITA,TRUE,,FALSE,FALSE,50730
Sharon ,Van Rouwendaal ,NED,A ,04:03.0,Women's 400 Freestyle,Sharon Van Rouwendaal,Sharon Van Rouwendaal NED,TRUE,,FALSE,FALSE,24300
Sharon ,Van Rouwendaal ,NED,A ,08:24.1,Women's 800 Freestyle,Sharon Van Rouwendaal,Sharon Van Rouwendaal NED,TRUE,,FALSE,FALSE,50410
